date,actual_price,xrp_hybrid_pred
2025-04-19,2.0877,2.058048177564751
2025-04-20,2.0787,2.0842052471313823
2025-04-21,2.0855,2.074172653973466
2025-04-22,2.2139,2.081007021231764
2025-04-23,2.2184,2.2169607205868096
2025-04-24,2.2049,2.2223351160494396
2025-04-25,2.1812,2.2086972129030027
2025-04-26,2.1912,2.1813551220587595
2025-04-27,2.252,2.191552014039256
2025-04-28,2.2949,2.25423282134583
2025-04-29,2.238,2.298254080264731
2025-04-30,2.1908,2.238602020261007
2025-05-01,2.2123,2.1880254066172555
2025-05-02,2.2093,2.2095105332328537
2025-05-03,2.1872,2.2054845198162387
2025-05-04,2.156,2.1817118601528036
2025-05-05,2.1306,2.1483338224586928
2025-05-06,2.155,2.120885494575045
2025-05-07,2.1265,2.1459250146162328
2025-05-08,2.3272,2.116093284069919
2025-05-09,2.3439,2.325622859712909
2025-05-10,2.4711,2.345110642277523
2025-05-11,2.367,2.4803643174877648
2025-05-12,2.5439,2.372029656302692
2025-05-13,2.5829,2.5576526934328156
2025-05-14,2.5503,2.5986171015480033
2025-05-15,2.3856,2.5634954147901023
2025-05-16,2.3798,2.388695668668346
2025-05-17,2.3531,2.379699317806729
2025-05-18,2.428,2.3489773808985492
2025-05-19,2.3803,2.4255685633515243
2025-05-20,2.3565,2.374893419173004
2025-05-21,2.3952,2.3491449327325933
2025-05-22,2.4311,2.388897531485967
2025-05-23,2.2966,2.426086094523658
2025-05-24,2.3303,2.285512564768984
2025-05-25,2.3417,2.318575306453291
2025-05-26,2.3103,2.3304320371862137
2025-05-27,2.3168,2.2973709277966514
2025-05-28,2.2742,2.3051033104874374
2025-05-29,2.2442,2.2601337179856165
2025-05-30,2.1398,2.229035984043527
2025-05-31,2.1738,2.1207095289978652
2025-06-01,2.1792,2.1567090676600142
2025-06-02,2.1965,2.1628988902985564
2025-06-03,2.2446,2.1820251195527276
2025-06-04,2.2009,2.2330770710111434
2025-06-05,2.0936,2.189203491672178
2025-06-06,2.1598,2.0780525067756193
2025-06-07,2.1769,2.1467815845796934
2025-06-08,2.267,2.1653530099798575
2025-06-09,2.3211,2.2614785760235003
2025-06-10,2.3074,2.319560677542024
2025-06-11,2.2704,2.306484227659206
2025-06-12,2.1899,2.268276859245092
2025-06-13,2.1472,2.1834713746857592
2025-06-14,2.1394,2.1379508404400354
2025-06-15,2.1655,2.128922089043987
2025-06-16,2.238,2.156206727539807
2025-06-17,2.159,2.2318845843048973
2025-06-18,2.1705,2.1498695809234576
2025-06-19,2.1648,2.161694786911982
2025-06-20,2.1194,2.155586626284562
2025-06-21,2.0632,2.108552512313707
2025-06-22,2.0172,2.05025727121695
2025-06-23,2.1584,2.0014707205481184
2025-06-24,2.1898,2.148603603939042
2025-06-25,2.1859,2.1825129084836243
2025-06-26,2.1054,2.1797287617315746
2025-06-27,2.1419,2.096495026416583
2025-06-28,2.1854,2.1348141874127218
2025-06-29,2.2061,2.18109131676295
2025-06-30,2.2362,2.2035212669954167
2025-07-01,2.172,2.2354836670727756
2025-07-02,2.2336,2.1681663104824827
2025-07-03,2.2569,2.231822769222626
2025-07-04,2.2205,2.256766147030617
2025-07-05,2.2178,2.2183938085881283
2025-07-06,2.2709,2.2149808229393844
2025-07-07,2.2708,2.2703352418858147
